day,temp_max,temp_min,temp_mean,humidity_mean,rain_sum,wind_u_mean,wind_v_mean,wind_speed_max,is_raining,month_sin,month_cos,pm2_5_lag_1d,pm2_5_lag_2d,pm10_lag_1d,pm10_lag_2d,nitrogen_dioxide_lag_1d,nitrogen_dioxide_lag_2d,us_aqi_lag_1d,us_aqi_lag_2d,Target_AQI_Next_Day,Target_PM25_Next_Day
2023-01-02,29.8,13.1,21.875,51.41085825,0.0,-0.1439996393442708,-2.154000075175916,9.565437,0,0.49999999999999994,0.8660254037844387,58.13333333333333,59.05416666666667,84.07083333333334,84.9875,37.95,48.12083333333334,150.91666666666666,153.54166666666666,148.95833333333334,58.958333333333336
2023-01-03,30.0,14.0,22.030416666666667,59.526637325,0.0,1.3260000049107046,-0.7800001977893023,13.1041975,0,0.49999999999999994,0.8660254037844387,50.59166666666667,58.13333333333333,72.91666666666667,84.07083333333334,26.5625,37.95,136.45833333333334,150.91666666666666,151.75,62.375
2023-01-04,29.7,14.9,22.23333333333333,62.09998748333333,0.0,-1.2000002361293884,-0.8519997881201308,12.397806,0,0.49999999999999994,0.8660254037844387,58.958333333333336,50.59166666666667,84.79583333333333,72.91666666666667,24.916666666666668,26.5625,148.95833333333334,136.45833333333334,155.58333333333334,59.4125
2023-01-05,29.25,15.8,22.555,61.226899816666666,0.0,-6.7649997859722735,1.5029994234144668,14.386494,0,0.49999999999999994,0.8660254037844387,62.375,58.958333333333336,89.66250000000001,84.79583333333333,24.825,24.916666666666668,151.75,148.95833333333334,130.08333333333334,41.17083333333333
2023-01-06,28.55,16.1,22.344583333333333,64.12763840833333,0.0,-9.08700033898649,0.5069995043712642,18.171976,0,0.49999999999999994,0.8660254037844387,59.4125,62.375,86.17916666666667,89.66250000000001,16.733333333333334,24.825,155.58333333333334,151.75,143.375,86.4375
2023-01-07,28.2,15.2,21.56958333333333,66.018435925,0.0,-7.83899985551831,-1.929000232277215,16.199999,0,0.49999999999999994,0.8660254037844387,41.17083333333333,59.4125,60.75416666666666,86.17916666666667,10.870833333333332,16.733333333333334,130.08333333333334,155.58333333333334,162.58333333333334,59.5875
2023-01-08,27.85,13.9,20.543333333333333,53.169047291666665,0.0,-6.1829994919586,-1.8029997276871772,11.304229,0,0.49999999999999994,0.8660254037844387,86.4375,41.17083333333333,124.55,60.75416666666666,9.041666666666666,10.870833333333332,143.375,130.08333333333334,116.91666666666669,35.45
2023-01-09,27.6,11.8,19.549166666666668,41.10815036666667,0.0,-6.161999380173359,-0.926999420155988,10.739833,0,0.49999999999999994,0.8660254037844387,59.5875,86.4375,85.51666666666667,124.55,7.574999999999999,9.041666666666666,162.58333333333334,143.375,105.875,39.84166666666667
2023-01-10,28.4,11.2,20.115,38.703250375,0.0,-5.906999357600435,-0.077999737239293,11.246759,0,0.49999999999999994,0.8660254037844387,35.45,59.5875,50.79166666666666,85.51666666666667,7.2875,7.574999999999999,116.91666666666669,162.58333333333334,130.08333333333334,48.0
2023-01-11,29.9,10.6,20.52875,44.365632141666666,0.0,4.785000247505459,-1.3859988898888085,13.896187,0,0.49999999999999994,0.8660254037844387,39.84166666666667,35.45,57.07916666666666,50.79166666666666,7.854166666666667,7.2875,105.875,116.91666666666669,146.75,55.55833333333334
