date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2022-08-01,,,,,,,,,,,
2022-08-02,,,,,,,,,,,
2022-08-03,,,,,,,,,,,
2022-08-04,20.21578947368421,13.157894736842104,244.73684210526315,13.510526315789473,6.594736842105263,49.421052631578945,0.33210526315789474,3.473684210526316,1.6342105263157896,,
2022-08-05,11.133333333333333,7.7749999999999995,245.375,14.633333333333333,6.254166666666666,38.708333333333336,0.16083333333333333,0.0,1.3145833333333334,43.26315789473684,23.42105263157895
2022-08-06,7.766666666666667,5.441666666666666,194.91666666666666,10.954166666666666,4.295833333333333,37.208333333333336,0.08541666666666668,0.0,1.5625,27.208333333333332,16.0
2022-08-07,6.504166666666666,4.529166666666667,180.91666666666666,9.695833333333333,3.7875,42.208333333333336,0.10375000000000001,0.0,1.1187500000000001,22.208333333333332,16.916666666666668
2022-08-08,5.754166666666666,4.020833333333333,181.375,10.029166666666667,3.65,43.583333333333336,0.05125,0.0,1.0645833333333334,20.333333333333332,17.333333333333332
2022-08-09,4.541666666666667,3.15,141.66666666666666,6.616666666666667,2.5708333333333333,45.0,0.06999999999999999,0.0,0.6666666666666666,20.25,18.041666666666668
2022-08-10,7.4875,4.829166666666667,131.08333333333334,4.825,2.3958333333333335,50.0,0.17916666666666667,1.4166666666666667,1.3645833333333333,23.541666666666668,20.125
2022-08-11,6.825,4.579166666666667,153.5,7.2124999999999995,2.2666666666666666,41.125,0.10291666666666667,0.8333333333333334,0.8708333333333335,21.0,16.375
2022-08-12,6.829166666666667,4.4750000000000005,140.0,6.270833333333333,2.720833333333333,36.0,0.1775,0.7916666666666666,1.6083333333333334,19.208333333333332,14.458333333333334
2022-08-13,8.495833333333334,5.4125000000000005,154.70833333333334,7.558333333333334,3.3208333333333333,37.541666666666664,0.22208333333333333,1.6666666666666667,1.7541666666666667,20.333333333333332,15.25
